consumer,resource,source.id,res.order,res.family,res.genus,res.method,con.order,con.family,con.genus,con.method,linkevidence
Costachorema,Oligochaetae,Canton,Oligochaetae,NA,NA,order,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Pycnocentrodes,Dempsters,Trichoptera,Conoesucidae,Pycnocentrodes,genus,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Hydrobiosella,Dempsters,Trichoptera,Philopotamidae,Hydrobiosella,genus,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Tiphobiosis,Dempsters,Trichoptera,Hydrobiosidae,Tiphobiosis,genus,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Oligochaetae,Stony,Oligochaetae,NA,NA,order,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Orthocladiinae,Berwick,Diptera,Chironomidae,NA,family,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Orthocladiinae,Broad,Diptera,Chironomidae,NA,family,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Pycnocentria,Stony,Trichoptera,Conoesucidae,Pycnocentria,genus,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Deleatidium,Dempsters,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Orthocladiinae,German,Diptera,Chironomidae,NA,family,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Austrosimulium,Canton,Diptera,Simuliidae,Austrosimulium,genus,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Orthocladiinae,Kyeburn,Diptera,Chironomidae,NA,family,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Beraeoptera,Healy,Trichoptera,Conoesucidae,Beraeoptera,genus,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Austrosimulium,Stony,Diptera,Simuliidae,Austrosimulium,genus,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Beraeoptera,Dempsters,Trichoptera,Conoesucidae,Beraeoptera,genus,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Deleatidium,Canton,Ephemeroptera,Leptophlebiidae,Deleatidium,genus,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Orthocladiinae,Canton,Diptera,Chironomidae,NA,family,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
Costachorema,Oligochaetae,Berwick,Oligochaetae,NA,NA,order,Trichoptera,Hydrobiosidae,Costachorema,genus,direct
