consumer,resource,res.category,res.order,res.family,res.subfamily,res.genus,res.species,res.method,con.category,con.order,con.family,con.subfamily,con.genus,con.species,con.method,linkevidence,source.id
Anguilla dieffenbachii,Potamopyrgus,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,13
Galaxias argenteus,Potamopyrgus antipodarum,Invertebrate,Mollusca,Hydrobiidae,,Potamopyrgus,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Anguilla dieffenbachii,Procordulia,Invertebrate,Odonata,Corduliidae,,Procordulia,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,Anguilla dieffenbachii,species,,12
Galaxias,Psilochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Psilochorema,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,,genus,direct,2
Gobiomorphus,Psilochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Psilochorema,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Psilochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Psilochorema,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Gobiomorphus breviceps,Psilochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Psilochorema,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,Gobiomorphus breviceps,genus,direct,5
Galaxias argenteus,Psilochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Psilochorema,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias argenteus,genus,,6
Archichauliodes diversus,Psilochorema,Invertebrate,Trichoptera,Hydrobiosidae,,Psilochorema,,genus,Invertebrate,Megaloptera,Corydalidae,,Archichauliodes,Archichauliodes diversus,genus,,10
Paranephrops zealandicus,Psychoda,Invertebrate,Diptera,Psychodidae,,Psychoda,,genus,Crayfish,Decapoda,Parastacidae,,Paranephrops,Paranephrops zealandicus,genus,,11
Anguilla,Pycnocentria,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentria,,genus,Fish,Anguilliformes,Anguillidae,,Anguilla,,genus,direct,2
Gobiomorphus,Pycnocentria,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentria,,genus,Fish,Perciformes,Eleotridae,,Gobiomorphus,,genus,direct,2
Salmo,Pycnocentria,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentria,,genus,Fish,Salmoniformes,Salmonidae,,Salmo,,genus,direct,2
Galaxias vulgaris,Pycnocentria,Invertebrate,Trichoptera,Conoesucidae,,Pycnocentria,,genus,Fish,Osmeriformes,Galaxidae,,Galaxias,Galaxias vulgaris,genus,direct,5
